date,t_mean,t_max,t_min,rh_mean,app_t_mean,app_t_max,hours_above_32,city
2015-01-18,24.1,28.5,19.9,70.04166666666667,25.46666666666667,29.9,0,trichy
2015-01-19,23.929166666666664,27.5,21.1,68.54166666666667,25.070833333333336,28.7,0,chennai
2015-01-19,22.8625,28.8,17.5,67.0,23.925,30.6,0,coimbatore
2015-01-19,24.2875,30.1,18.3,65.20833333333333,25.77916666666667,31.8,0,madurai
2015-01-19,23.3,29.3,18.1,67.5,24.808333333333337,31.0,0,salem
2015-01-19,23.725,28.9,18.7,68.70833333333333,24.83333333333333,30.1,0,trichy
2015-01-20,23.725,27.5,20.3,66.25,24.34166666666667,28.7,0,chennai
2015-01-20,23.195833333333336,29.2,17.8,65.58333333333333,24.175,30.4,0,coimbatore
2015-01-20,24.166666666666668,30.0,18.4,65.875,25.754166666666663,31.6,0,madurai
2015-01-20,23.05,28.4,18.2,69.20833333333333,24.729166666666668,30.9,0,salem
2015-01-20,23.504166666666663,28.7,18.5,70.45833333333333,24.870833333333337,30.1,0,trichy
2015-01-21,23.516666666666666,27.2,20.5,65.79166666666667,23.975,28.4,0,chennai
2015-01-21,22.34166666666667,27.5,17.3,68.79166666666667,23.2375,28.0,0,coimbatore
2015-01-21,23.929166666666664,29.0,18.7,66.58333333333333,25.2,29.8,0,madurai
2015-01-21,22.620833333333337,27.6,18.2,70.58333333333333,23.9,28.4,0,salem
2015-01-21,23.71666666666667,28.4,19.5,67.875,24.6,28.7,0,trichy
2015-01-22,23.754166666666663,27.0,21.1,79.125,25.741666666666664,29.8,0,chennai
2015-01-22,23.066666666666663,29.0,17.2,61.833333333333336,23.804166666666664,30.0,0,coimbatore
2015-01-22,24.15833333333333,30.3,17.3,65.79166666666667,25.620833333333337,32.5,0,madurai
2015-01-22,22.925,29.4,16.9,66.83333333333333,24.34583333333333,31.3,0,salem
2015-01-22,23.745833333333337,29.5,17.2,71.08333333333333,25.266666666666666,31.7,0,trichy
2015-01-23,24.45,27.3,22.3,80.45833333333333,27.066666666666663,30.4,0,chennai
2015-01-23,22.804166666666664,28.4,17.9,67.66666666666667,23.741666666666664,28.9,0,coimbatore
2015-01-23,24.766666666666666,29.5,21.1,74.79166666666667,27.42083333333333,31.7,0,madurai
2015-01-23,23.566666666666663,27.6,20.3,75.625,25.85,29.3,0,salem
2015-01-23,24.6625,28.5,22.3,78.91666666666667,27.34166666666667,32.2,0,trichy
2015-01-24,24.5,27.3,22.3,79.625,26.79583333333333,30.2,0,chennai
2015-01-24,23.245833333333337,27.9,19.3,72.08333333333333,24.90416666666667,28.6,0,coimbatore
2015-01-24,25.17083333333333,29.4,20.6,72.45833333333333,27.695833333333336,31.3,0,madurai
2015-01-24,24.379166666666663,28.3,21.1,73.08333333333333,26.791666666666668,30.3,0,salem
2015-01-24,24.791666666666668,28.8,20.7,77.25,27.254166666666663,31.1,0,trichy
2015-01-25,23.78333333333333,26.9,21.1,70.75,24.8125,28.0,0,chennai
2015-01-25,23.070833333333336,28.3,18.8,70.625,24.454166666666666,29.4,0,coimbatore
2015-01-25,25.3125,30.0,22.0,68.20833333333333,27.27916666666667,31.4,0,madurai
2015-01-25,24.17083333333333,29.3,20.3,67.79166666666667,25.929166666666664,31.4,0,salem
2015-01-25,24.491666666666664,29.0,20.9,72.5,26.075,30.8,0,trichy
2015-01-26,24.28333333333333,27.2,21.3,65.70833333333333,25.08333333333333,27.3,0,chennai
2015-01-26,22.291666666666668,28.3,16.6,61.04166666666666,22.383333333333336,28.0,0,coimbatore
2015-01-26,23.804166666666664,28.8,17.4,66.95833333333333,24.925,29.8,0,madurai
2015-01-26,22.7375,28.7,17.4,66.58333333333333,23.73333333333333,29.5,0,salem
2015-01-26,23.516666666666666,28.1,18.3,69.66666666666667,24.46666666666667,28.8,0,trichy
2015-01-27,24.166666666666668,26.8,21.8,69.375,24.820833333333336,26.8,0,chennai
2015-01-27,22.4375,28.6,16.8,64.08333333333333,22.77916666666667,29.0,0,coimbatore
2015-01-27,24.3625,29.2,18.3,67.91666666666667,25.8125,29.8,0,madurai
2015-01-27,22.866666666666664,27.7,17.6,71.33333333333333,24.3,28.7,0,salem
2015-01-27,23.375,28.0,18.0,75.0,24.991666666666664,29.4,0,trichy
2015-01-28,24.27083333333333,27.2,21.4,69.66666666666667,25.5,27.8,0,chennai
2015-01-28,23.370833333333337,28.7,19.0,67.66666666666667,24.579166666666666,29.3,0,coimbatore
2015-01-28,25.46666666666667,28.7,22.3,68.875,27.766666666666666,30.9,0,madurai
2015-01-28,23.616666666666664,28.4,19.8,71.33333333333333,25.47083333333333,29.4,0,salem
2015-01-28,25.016666666666666,28.3,22.3,70.125,26.675,29.6,0,trichy
2015-01-29,24.541666666666668,27.7,21.6,73.0,26.183333333333337,29.5,0,chennai
2015-01-29,23.35833333333333,28.4,18.5,69.58333333333333,24.85,29.2,0,coimbatore
2015-01-29,25.08333333333333,29.3,20.6,68.58333333333333,27.0625,30.6,0,madurai
2015-01-29,24.075,29.7,19.0,69.0,25.775,30.5,0,salem
2015-01-29,24.72083333333333,29.1,20.2,71.375,26.541666666666668,30.2,0,trichy
2015-01-30,24.820833333333336,28.2,22.2,70.04166666666667,26.429166666666664,30.2,0,chennai
2015-01-30,23.2125,27.9,18.9,71.91666666666667,24.6,28.6,0,coimbatore
2015-01-30,24.9,28.9,21.6,71.33333333333333,27.0125,30.5,0,madurai
2015-01-30,24.075,28.2,20.6,72.25,26.179166666666664,29.8,0,salem
2015-01-30,24.71666666666667,28.0,21.8,72.79166666666667,26.554166666666664,29.5,0,trichy
2015-01-31,24.633333333333336,28.2,21.0,70.33333333333333,26.120833333333337,30.6,0,chennai
2015-01-31,23.3875,29.1,18.9,65.125,24.179166666666664,29.6,0,coimbatore
2015-01-31,25.0375,30.1,21.2,62.083333333333336,26.229166666666668,31.4,0,madurai
2015-01-31,23.995833333333337,29.6,18.9,66.25,25.40833333333333,30.9,0,salem
2015-01-31,24.566666666666663,29.8,20.0,66.91666666666667,25.666666666666668,30.5,0,trichy
2015-02-01,24.558333333333337,28.0,21.1,72.58333333333333,26.195833333333336,29.1,0,chennai
2015-02-01,22.995833333333337,29.3,16.8,63.125,23.616666666666664,30.2,0,coimbatore
2015-02-01,24.73333333333333,30.5,18.7,62.875,25.90833333333333,31.8,0,madurai
2015-02-01,23.791666666666668,29.7,18.1,66.04166666666667,25.195833333333336,31.4,0,salem
2015-02-01,24.433333333333337,30.4,19.2,68.375,25.541666666666668,30.6,0,trichy
2015-02-02,24.7,28.1,21.6,71.83333333333333,26.08333333333333,30.1,0,chennai
2015-02-02,22.64583333333333,28.8,17.2,62.958333333333336,22.7875,29.1,0,coimbatore
2015-02-02,24.745833333333337,30.6,18.8,63.333333333333336,25.72083333333333,31.4,0,madurai
2015-02-02,23.77083333333333,29.7,18.7,66.08333333333333,24.979166666666668,30.8,0,salem
2015-02-02,24.40833333333333,30.2,19.4,69.04166666666667,25.525,31.1,0,trichy
2015-02-03,24.883333333333336,28.3,22.3,65.79166666666667,25.516666666666666,29.1,0,chennai
2015-02-03,22.35,28.9,15.9,62.5,22.525,29.1,0,coimbatore
2015-02-03,24.808333333333337,30.0,19.7,63.04166666666666,25.629166666666663,30.0,0,madurai
2015-02-03,23.479166666666668,30.1,17.2,65.04166666666667,24.258333333333336,30.2,0,salem
2015-02-03,24.2875,28.6,20.1,67.95833333333333,25.058333333333337,28.9,0,trichy
2015-02-04,24.7625,28.2,22.5,68.20833333333333,25.729166666666668,29.4,0,chennai
2015-02-04,22.791666666666668,27.7,17.8,65.16666666666667,23.1875,27.7,0,coimbatore
2015-02-04,25.15,28.6,21.9,66.625,26.6,29.4,0,madurai
2015-02-04,23.370833333333337,28.2,18.3,68.875,24.925,29.2,0,salem
2015-02-04,24.629166666666663,28.1,21.2,69.91666666666667,26.0125,29.4,0,trichy
2015-02-05,24.433333333333337,28.6,21.2,72.04166666666667,26.058333333333337,30.6,0,chennai
2015-02-05,23.59166666666667,28.3,18.9,62.91666666666666,24.429166666666664,28.8,0,coimbatore
2015-02-05,25.258333333333336,29.0,21.4,67.29166666666667,27.15,30.9,0,madurai
2015-02-05,24.25,29.9,18.5,66.08333333333333,25.95833333333333,31.9,0,salem
2015-02-05,25.079166666666666,29.2,21.1,68.04166666666667,26.504166666666663,30.8,0,trichy
2015-02-06,24.745833333333337,28.7,21.5,72.20833333333333,26.84583333333333,31.4,0,chennai
2015-02-06,23.8625,30.0,18.0,60.708333333333336,24.59583333333333,31.1,0,coimbatore
2015-02-06,25.4125,31.2,19.5,63.79166666666666,27.1625,33.0,0,madurai
2015-02-06,24.075,30.1,18.4,63.458333333333336,25.4,31.2,0,salem
2015-02-06,24.816666666666663,30.8,19.3,68.66666666666667,26.40416666666667,32.5,0,trichy
2015-02-07,24.2875,28.7,20.1,73.29166666666667,26.195833333333336,30.8,0,chennai
2015-02-07,24.08333333333333,30.3,18.4,59.208333333333336,24.879166666666663,31.8,0,coimbatore
