date,tn_peak_demand_mw,tn_shortage_at_peak_mw,tn_energy_gwh,t_mean,t_max,t_min,rh_mean,app_t_mean,app_t_max,hours_above_32,cdd,cdd_max,cdd_apparent,thi,dow,is_weekend,is_holiday,day_before_holiday,day_after_holiday,holiday_name,pongal_window,sin1,cos1,sin2,cos2,trend,peak_lag_1,peak_lag_2,peak_lag_3,peak_lag_7,peak_lag_14,peak_lag_364,peak_roll_mean_7,peak_roll_std_7,peak_roll_mean_30,peak_roll_std_30,peak_lag_1_diff,peak_lag_1_vs_week,energy_lag_1,energy_lag_2,energy_lag_7,energy_lag_14,energy_roll_mean_7,energy_roll_std_7,energy_roll_mean_30,energy_roll_std_30,cdd_lag1,cdd_max_lag1,thi_lag1,sr_max_demand_mw_lag1,sr_wind_gwh_lag1,sr_solar_gwh_lag1,sr_peak_shortage_mw_lag1
2026-03-24,19219.0,0.0,408.62,29.325666666666663,34.748000000000005,24.88,61.63250000000001,32.413833333333336,37.648,5.6000000000000005,4.325666666666663,9.748000000000005,7.413833333333336,26.19713595458333,1.0,0.0,0.0,0.0,0.0,None,0.0,0.9897936029670716,0.14250832791617088,0.2821076626819194,-0.9593827529490743,4829.0,18955.0,16248.0,18147.0,19109.0,18565.0,19143.0,18152.714285714286,1009.2295269636692,18562.733333333334,1064.0528873727933,2707.0,-154.0,389.51,354.52,413.42,395.72,383.4442857142857,20.742558390211453,386.7883333333333,17.398146568596477,4.591666666666669,10.07,26.414613017361113,69079.0,43.42,170.3,0.0
2026-03-25,19336.0,0.0,405.48,29.40383333333333,35.519999999999996,24.172,60.67,32.385999999999996,38.998000000000005,7.06,4.403833333333331,10.519999999999996,7.385999999999996,26.17991062583333,2.0,0.0,0.0,1.0,0.0,None,0.0,0.992098522791769,0.12546123335273648,0.24893980855376657,-0.9685189578512204,4830.0,19219.0,18955.0,16248.0,18932.0,18931.0,19328.0,18168.428571428572,1027.2957797283575,18652.9,996.9526793321438,264.0,287.0,408.62,389.51,403.95,396.32,382.7585714285714,19.636293292921085,388.5996666666667,16.712138574894887,4.325666666666663,9.748000000000005,26.19713595458333,69840.0,40.12,169.34,0.0
2026-03-26,19424.0,0.0,411.11,29.21091666666667,34.936,24.060000000000002,60.2325,32.00266666666667,37.674,6.200000000000001,4.2109166666666695,9.936,7.00266666666667,25.9933265846875,3.0,0.0,1.0,0.0,0.0,Ram Navami,0.0,0.9941098647022418,0.10837701279187609,0.21547731504673012,-0.976508846196619,4831.0,19336.0,19219.0,18955.0,17593.0,19296.0,19372.0,18226.14285714286,1086.9594332466556,18653.233333333334,997.1871364279754,117.0,1743.0,405.48,408.62,365.37,405.32,382.9771428571429,19.917983259927706,389.57099999999997,16.82149002172757,4.403833333333331,10.519999999999996,26.17991062583333,70622.0,39.1,172.55,0.0
2026-03-27,20146.0,0.0,428.27,29.383083333333328,35.862,23.604,60.207499999999996,32.42491666666667,38.95,7.68,4.383083333333328,10.862000000000002,7.424916666666668,26.12579031885416,4.0,0.0,0.0,0.0,1.0,None,0.0,0.9958270335100595,0.09126072172931188,0.18175978759137534,-0.9833429613388902,4832.0,19424.0,19336.0,19219.0,18085.0,19775.0,19939.0,18487.714285714286,1128.7116127523525,18670.3,1006.1100628761479,88.0,1339.0,411.11,405.48,375.77,411.07,389.51142857142855,20.6677054270411,390.03633333333335,17.2265878069517,4.2109166666666695,9.936,25.9933265846875,70351.0,52.39,182.33,0.0
2026-03-28,19779.0,0.0,420.38,29.99225,37.04,24.623999999999995,61.188333333333325,33.317083333333336,40.374,7.98,4.9922499999999985,12.04,8.317083333333336,26.68520976395833,5.0,1.0,0.0,0.0,0.0,None,0.0,0.9972495210773451,0.07411742515094437,0.14782713347053048,-0.9890132145779883,4833.0,20146.0,19424.0,19336.0,18147.0,19503.0,19065.0,18782.14285714286,1266.547463062724,18712.266666666666,1041.109518679481,722.0,1999.0,428.27,411.11,381.57,406.82,397.01142857142855,24.092095127218307,391.3636666666667,18.580994087069467,4.383083333333328,10.862000000000002,26.12579031885416,72227.0,40.87,183.63,0.0
2026-03-29,17717.0,0.0,392.42,30.413249999999998,36.636,24.819999999999997,61.614999999999995,33.80191666666666,40.44199999999999,7.9399999999999995,5.413249999999998,11.636000000000003,8.801916666666664,27.053684443124997,6.0,1.0,0.0,0.0,0.0,None,0.0,0.998376906467142,0.056952196034039754,0.11371951458594969,-0.9935128947338007,4834.0,19779.0,20146.0,19424.0,16248.0,16775.0,17040.0,19015.285714285714,1280.2788386761995,18735.566666666666,1057.3187847776298,-367.0,3531.0,420.38,428.27,354.52,369.86,402.55571428571426,24.409878367264444,392.6823333333333,19.200358416776133,4.9922499999999985,12.04,26.68520976395833,71227.0,39.33,160.41,0.0
2026-03-30,19715.0,0.0,416.46,30.404333333333334,36.162,25.896,60.26,33.62141666666667,38.952,8.360000000000001,5.404333333333334,11.161999999999999,8.621416666666669,26.928123196666665,0.0,0.0,0.0,1.0,0.0,None,0.0,0.9992088560679753,0.03977011384605572,0.07947729992362097,-0.9968366760893436,4835.0,17717.0,19779.0,20146.0,18955.0,19511.0,18916.0,19225.14285714286,769.6404850257521,18697.266666666666,1073.1234763074842,-2062.0,-1238.0,392.42,420.38,389.51,400.79,407.96999999999997,13.93529332306561,392.693,19.20011263435052,5.413249999999998,11.636000000000003,27.053684443124997,66057.0,50.91,151.84,0.0
2026-03-31,19828.0,0.0,424.02,30.017083333333336,35.58,25.438,60.52416666666667,33.07725000000001,38.172000000000004,7.52,5.017083333333336,10.579999999999998,8.077250000000006,26.648059458159725,1.0,0.0,1.0,0.0,0.0,Mahavir Jayanti,0.0,0.9997451236925734,0.022576263041545485,0.04514101777397193,-0.9989806246941579,4836.0,19715.0,17717.0,19779.0,19219.0,19109.0,19001.0,19333.714285714286,778.7326700664245,18715.0,1085.7483673675695,1998.0,496.0,416.46,392.42,408.62,413.42,411.82000000000005,11.494240586769514,393.66333333333336,19.65106092305513,5.404333333333334,11.161999999999999,26.928123196666665,71357.0,40.7,159.47,0.0
2026-04-01,19020.0,0.0,411.32,29.5535,35.132,24.848,58.80499999999999,32.27041666666667,37.831999999999994,6.86,4.5535,10.131999999999998,7.270416666666669,26.14279087125,2.0,0.0,0.0,0.0,1.0,None,0.0,0.9999855506507186,0.005375731557583884,0.01075130776352193,-0.9999422030204416,4837.0,19828.0,19715.0,17717.0,19336.0,18932.0,19160.0,19420.714285714286,797.5716716564054,18840.6,980.905971099122,113.0,492.0,424.02,416.46,405.48,403.95,414.02,12.22991823357256,396.16566666666665,18.507367159990885,5.017083333333336,10.579999999999998,26.648059458159725,70120.0,46.38,164.97,0.0
2026-04-02,20040.0,0.0,419.95,29.65175,35.578,24.566,59.670833333333334,32.714083333333335,38.86999999999999,7.14,4.65175,10.578000000000003,7.714083333333335,26.290934019270832,3.0,0.0,0.0,1.0,0.0,None,0.0,0.9999300657962057,-0.011826390691832589,-0.023651127245231586,-0.9997202729664083,4838.0,19020.0,19828.0,19715.0,19424.0,17593.0,17043.0,19375.571428571428,811.9784186671272,18848.1,981.4053382425714,-808.0,-404.0,411.32,424.02,411.11,365.37,414.85428571428565,11.739616485983051,397.31766666666664,18.33257637202365,4.5535,10.131999999999998,26.14279087125,69791.0,41.75,182.78,0.0
